batsman,total_runs,balls_faced,strike_rate
SK Raina,4540.0,3366,134.88
V Kohli,4418.0,3492,126.52
RG Sharma,4207.0,3274,128.5
G Gambhir,4132.0,3433,120.36
DA Warner,4014.0,2901,138.37
RV Uthappa,3778.0,2960,127.64
CH Gayle,3626.0,2520,143.89
S Dhawan,3561.0,3005,118.5
MS Dhoni,3560.0,2680,132.84
AB de Villiers,3473.0,2398,144.83
AM Rahane,3057.0,2602,117.49
YK Pathan,2904.0,2072,140.15
KD Karthik,2903.0,2360,123.01
BB McCullum,2753.0,2176,126.52
V Sehwag,2728.0,1833,148.83
SR Watson,2622.0,1945,134.81
Yuvraj Singh,2587.0,2048,126.32
M Vijay,2511.0,2092,120.03
SE Marsh,2477.0,1908,129.82
JH Kallis,2427.0,2291,105.94
AT Rayudu,2416.0,1964,123.01
DR Smith,2385.0,1803,132.28
KA Pollard,2344.0,1671,140.28
SR Tendulkar,2334.0,2044,114.19
PA Patel,2322.0,2060,112.72
MK Pandey,2215.0,1898,116.7
R Dravid,2174.0,1918,113.35
AC Gilchrist,2069.0,1555,133.05
JP Duminy,1993.0,1634,121.97
MEK Hussey,1977.0,1648,119.96
DPMD Jayawardene,1802.0,1520,118.55
RA Jadeja,1732.0,1458,118.79
SPD Smith,1703.0,1328,128.24
KC Sangakkara,1687.0,1424,118.47
MK Tiwary,1648.0,1444,114.13
AJ Finch,1603.0,1266,126.62
DA Miller,1563.0,1134,137.83
WP Saha,1557.0,1219,127.73
NV Ojha,1553.0,1356,114.53
S Badrinath,1441.0,1245,115.74
SV Samson,1426.0,1165,122.4
BJ Hodge,1400.0,1153,121.42
SC Ganguly,1349.0,1326,101.73
DJ Hussey,1322.0,1101,120.07
F du Plessis,1295.0,1043,124.16
SS Tiwary,1276.0,1111,114.85
DJ Bravo,1262.0,1032,122.29
GJ Maxwell,1228.0,779,157.64
KK Nair,1158.0,929,124.65
TM Dilshan,1153.0,1047,110.12
