bowler,total_wickets,matches_played
SL Malinga,170,88
A Mishra,142,82
DJ Bravo,137,77
Harbhajan Singh,136,81
PP Chawla,133,84
R Vinay Kumar,125,67
A Nehra,121,66
Z Khan,119,70
B Kumar,117,64
R Ashwin,110,73
SP Narine,109,58
UT Yadav,107,59
P Kumar,102,68
DW Steyn,100,56
SR Watson,100,59
RP Singh,100,57
IK Pathan,99,63
PP Ojha,99,59
JA Morkel,96,58
MM Sharma,91,51
RA Jadeja,89,49
M Morkel,88,51
L Balaji,85,50
AB Dinda,82,48
MM Patel,82,41
R Bhatia,82,50
DS Kulkarni,81,47
Sandeep Sharma,76,43
JH Kallis,74,47
SK Trivedi,73,43
YS Chahal,72,43
JP Faulkner,72,40
KA Pollard,67,45
M Muralitharan,66,43
MG Johnson,62,36
AR Patel,61,40
JD Unadkat,60,29
SK Warne,60,37
CH Morris,60,34
I Sharma,59,40
MJ McClenaghan,56,32
KV Sharma,54,33
JJ Bumrah,53,29
Imran Tahir,50,25
SB Jakati,50,30
A Kumble,49,27
Shakib Al Hasan,48,30
S Aravind,48,27
RJ Harris,47,26
YK Pathan,45,30
