venue,city,total_matches,chose_bat,chose_field
M Chinnaswamy Stadium,Bangalore,66,9.0,57.0
Eden Gardens,Kolkata,61,28.0,33.0
Feroz Shah Kotla,Delhi,60,26.0,34.0
Wankhede Stadium,Mumbai,57,21.0,36.0
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,49,23.0,26.0
"MA Chidambaram Stadium, Chepauk",Chennai,48,34.0,14.0
"Punjab Cricket Association Stadium, Mohali",Chandigarh,35,14.0,21.0
Sawai Mansingh Stadium,Jaipur,33,14.0,19.0
Subrata Roy Sahara Stadium,Pune,17,15.0,2.0
Dr DY Patil Sports Academy,Mumbai,17,7.0,10.0
Maharashtra Cricket Association Stadium,Pune,15,2.0,13.0
Kingsmead,Durban,15,10.0,5.0
SuperSport Park,Centurion,12,6.0,6.0
"Sardar Patel Stadium, Motera",Ahmedabad,12,6.0,6.0
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,11,2.0,9.0
Brabourne Stadium,Mumbai,11,6.0,5.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,11,5.0,6.0
Saurashtra Cricket Association Stadium,Rajkot,10,3.0,7.0
Himachal Pradesh Cricket Association Stadium,Dharamsala,9,1.0,8.0
New Wanderers Stadium,Johannesburg,8,2.0,6.0
Newlands,Cape Town,7,4.0,3.0
St George's Park,Port Elizabeth,7,7.0,0.0
Barabati Stadium,Cuttack,7,2.0,5.0
JSCA International Stadium Complex,Ranchi,7,3.0,4.0
Sheikh Zayed Stadium,Abu Dhabi,7,4.0,3.0
Dubai International Cricket Stadium,Unknown,7,3.0,4.0
Shaheed Veer Narayan Singh International Stadium,Raipur,6,3.0,3.0
Sharjah Cricket Stadium,Sharjah,6,2.0,4.0
Holkar Cricket Stadium,Indore,5,1.0,4.0
Nehru Stadium,Kochi,5,2.0,3.0
Green Park,Kanpur,4,0.0,4.0
Buffalo Park,East London,3,3.0,0.0
De Beers Diamond Oval,Kimberley,3,2.0,1.0
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,3,2.0,1.0
OUTsurance Oval,Bloemfontein,2,1.0,1.0
